what,kind,bundleId,bundleVersion,description,time
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1289301768938
java.version,sysinfo,,,"1.6.0_20",1289301768938
java.vm.info,sysinfo,,,"mixed mode, sharing",1289301768938
java.vm.name,sysinfo,,,"OpenJDK Client VM",1289301768938
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1289301768938
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1289301768938
java.vm.specification.version,sysinfo,,,"1.0",1289301768938
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1289301768938
java.vm.version,sysinfo,,,"17.0-b16",1289301768938
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1289301769003
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1289301769100
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1289301769182
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1289301769523
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1289301769526
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1289301769757
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1289301769852
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1289301769884
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1289301770119
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1289301770179
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289301772700
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289301775082
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAutomatically",1289301785400
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1289301797103
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1289301797760
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1289301798496
